iter	Passed	Remaining
755	45513	14689
756	45567	14627
757	45627	14567
758	45671	14501
759	45727	14440
760	45771	14374
761	45811	14308
762	45850	14242
763	45892	14176
764	45931	14109
765	45971	14043
766	46014	13978
767	46053	13912
768	46091	13845
769	46129	13779
770	46169	13712
771	46206	13646
772	46245	13580
773	46282	13513
774	46319	13447
775	46359	13382
776	46398	13316
777	46439	13251
778	46476	13185
779	46518	13120
780	46556	13054
781	46592	12988
782	46632	12923
783	46674	12859
784	46714	12794
785	46753	12729
786	46796	12665
787	46834	12600
788	46873	12535
789	46910	12469
790	46955	12406
791	46992	12341
792	47031	12276
793	47069	12212
794	47111	12148
795	47149	12083
796	47189	12019
797	47229	11955
798	47269	11891
799	47311	11827
800	47387	11772
801	47474	11720
802	47537	11662
803	47580	11599
804	47620	11535
805	47660	11471
806	47697	11407
807	47748	11346
808	47788	11282
809	47825	11218
810	47871	11156
811	47913	11093
812	47953	11029
813	47992	10966
814	48036	10903
815	48072	10839
816	48108	10775
817	48146	10712
818	48197	10651
819	48234	10588
820	48272	10524
821	48328	10465
822	48380	10405
823	48428	10343
824	48469	10281
825	48514	10219
826	48568	10159
827	48621	10100
828	48668	10039
829	48712	9977
830	48762	9916
831	48807	9855
832	48851	9793
833	48895	9732
834	48941	9671
835	48986	9609
836	49033	9548
837	49201	9511
838	49335	9467
839	49430	9415
840	49504	9359
841	49580	9303
842	49767	9268
843	49880	9219
844	50124	9194
845	50230	9143
846	50296	9085
847	50401	9034
848	50553	8991
849	50608	8930
850	50660	8870
851	50706	8808
852	50746	8745
853	50786	8682
854	50825	8619
855	50863	8556
856	50904	8494
857	50942	8430
858	50983	8368
859	51022	8305
860	51062	8243
861	51099	8180
862	51138	8118
863	51175	8055
864	51215	7993
865	51252	7930
866	51298	7869
867	51344	7808
868	51388	7746
869	51466	7690
870	51543	7633
871	51623	7577
872	51690	7519
873	51732	7457
874	51772	7396
875	51817	7334
876	51858	7273
877	51898	7211
878	51938	7149
879	51982	7088
880	52021	7026
881	52058	6964
882	52099	6903
883	52144	6842
884	52192	6782
885	52230	6720
886	52349	6669
887	52464	6617
888	52548	6561
889	52612	6502
890	52679	6444
891	52728	6384
892	52777	6323
893	52822	6263
894	52864	6202
895	52914	6141
896	52962	6081
897	53007	6020
898	53056	5960
899	53094	5899
900	53136	5838
901	53178	5777
902	53224	5717
903	53265	5656
904	53306	5595
905	53353	5535
906	53400	5475
907	53465	5417
908	53554	5361
